rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
1589.5,,rt_thecrossant_black4,1314118,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,
null,,color_black4,1314223,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,1317726,,,,black_plus_sign,,,null,object_05a.png,object_05c.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,1318702,,,,green,,,null,object_05a.png,object_05c.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,1319206,,,,green,,,null,object_05a.png,object_05c.png,,,,,,,,,,,,,,,,,
1031.7000000029802,,rt_thecrossant_black4,1320238,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,
null,,color_black4,1320342,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,1323846,,,,black_plus_sign,,,null,object_05b.png,object_09b.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,1324863,,,,green,,,null,object_05b.png,object_09b.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,1325366,,,,green,,,null,object_05b.png,object_09b.png,,,,,,,,,,,,,,,,,
1268.6000000014901,,rt_thecrossant_black4,1326357,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,
null,,color_black4,1326461,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,1329966,,,,black_plus_sign,,,null,object_10a.png,object_09b.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,1330627,,,,green,,,null,object_10a.png,object_09b.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,1331129,,,,green,,,null,object_10a.png,object_09b.png,,,,,,,,,,,,,,,,,
1412,,rt_thecrossant_black4,1332475,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,
null,,color_black4,1332579,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,1336082,,,,black_plus_sign,,,null,object_14a.png,object_07a.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,1336806,,,,blue,,,null,object_14a.png,object_07a.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,1337309,,,,blue,,,null,object_14a.png,object_07a.png,,,,,,,,,,,,,,,,,
834.7000000029802,,rt_thecrossant_black4,1338592,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,
null,,color_black4,1338696,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,1342200,,,,black_plus_sign,,,null,object_05a.png,object_15c.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,1342882,,,,green,,,null,object_05a.png,object_15c.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,1343385,,,,green,,,null,object_05a.png,object_15c.png,,,,,,,,,,,,,,,,,
1352.3000000044703,,rt_thecrossant_black4,1344711,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,
null,,color_black4,1344816,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,
