rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice
401.79999999701977,,prac_rt_plussign_withcolor,278050,,,,,,,,blue,,,49,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_thecrossant_black,279411,,,,,,,,black_plus_sign,,,null,,,1,1,,,,,,,
null,,prac_color_black,279513,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),283016,,,,,,,,black_plus_sign,,,null,object_04c.png,object_12b.png,,,,,,,,,
null,,black_cross(without_color)1,283487,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,283989,,,,,,,,blue,,,null,object_04c.png,object_12b.png,,,,,,,,,
943.2999999970198,,prac_rt_thecrossant_black,285013,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,285115,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),288618,,,,,,,,black_plus_sign,,,null,object_12a.png,object_15b.png,,,,,,,,,
null,,black_cross(without_color)1,289089,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,289591,,,,,,,,blue,,,null,object_12a.png,object_15b.png,,,,,,,,,
1095.3999999910593,,prac_rt_thecrossant_black,290589,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,290691,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),294194,,,,,,,,black_plus_sign,,,null,object_01b.png,object_08b.png,,,,,,,,,
null,,black_cross(without_color)1,294665,,,,,,,,blue,,,null,object_02a.png,object_14b.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,295168,,,,,,,,blue,,,null,object_01b.png,object_08b.png,,,,,,,,,
