rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,stimulus_middle,tooquick,problems,smooth,distraction,strategies,easier,similar,comments
2508.7999999523163,,directmemory_phase3,912929,,,,,,,,object_12a.png,,,50,,,1,,object_14b.png,object_03c.png,object_10a.png,object_03c.png,,0.8571428571428571,,1,,,,,,,,,
2909.2000000476837,,directmemory_phase3,915841,,,,,,,,object_15c.png,,,51,,,1,,object_04a.png,object_14b.png,object_15b.png,object_15b.png,,0.8611111111111112,,1,,,,,,,,,
2074.2999999523163,,directmemory_phase3,917918,,,,,,,,object_06b.png,,,49,,,1,,object_02c.png,object_13b.png,object_15a.png,object_02c.png,,0.8648648648648649,,1,,,,,,,,,
2575.0999999046326,,directmemory_phase3,920495,,,,,,,,object_03a.png,,,50,,,1,,object_02a.png,object_15a.png,object_10a.png,object_15a.png,,0.868421052631579,,1,,,,,,,,,
2598.2999999523163,,directmemory_phase3,923096,,,,,,,,object_10b.png,,,51,,,1,,object_13b.png,object_12c.png,object_04a.png,object_04a.png,,0.8717948717948718,,1,,,,,,,,,
2813.2999999523163,,directmemory_phase3,925911,,,,,,,,object_07c.png,,,49,,,1,,object_12b.png,object_15b.png,object_02c.png,object_12b.png,,0.875,,1,,,,,,,,,
2225.9000000953674,,directmemory_phase3,928139,,,,,,,,object_05c.png,,,49,,,1,,object_08a.png,object_02a.png,object_15b.png,object_08a.png,,0.8780487804878049,,1,,,,,,,,,
2063.399999856949,,directmemory_phase3,930204,,,,,,,,object_01a.png,,,51,,,1,,object_01b.png,object_15b.png,object_14b.png,object_14b.png,,0.8809523809523809,,1,,,,,,,,,
2548.7000000476837,,directmemory_phase3,932755,,,,,,,,object_04c.png,,,50,,,1,,object_14c.png,object_01b.png,object_13c.png,object_01b.png,,0.8837209302325582,,1,,,,,,,,,
3375.4000000953674,,directmemory_phase3,936133,,,,,,,,object_06c.png,,,51,,,1,,object_15b.png,object_04a.png,object_13b.png,object_13b.png,,0.8863636363636364,,1,,,,,,,,,
2299.300000190735,,directmemory_phase3,938434,,,,,,,,object_08b.png,,,49,,,1,,object_10a.png,object_01b.png,object_15b.png,object_10a.png,,0.8888888888888888,,1,,,,,,,,,
null,,thebreak,938536,,,,,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,
1884.8000001907349,,intro_0,940422,,,,,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,943925,,,,,,,,black_plus_sign,,,null,object_03c.png,object_12a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,944527,,,,,,,,green,,,null,object_03c.png,object_12a.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,945028,,,,,,,,green,,,null,object_03c.png,object_12a.png,,,,,,,,,,,,,,,,,,,
1557.7999999523163,,rt_thecrossant_black4,946431,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black4,946532,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,950034,,,,,,,,black_plus_sign,,,null,object_14c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,950762,,,,,,,,blue,,,null,object_14c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,951264,,,,,,,,blue,,,null,object_14c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
1593.2000000476837,,rt_thecrossant_black4,952541,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black4,952643,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,956145,,,,,,,,black_plus_sign,,,null,object_13b.png,object_06c.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,956564,,,,,,,,green,,,null,object_13b.png,object_06c.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,957065,,,,,,,,green,,,null,object_13b.png,object_06c.png,,,,,,,,,,,,,,,,,,,
1400.8999998569489,,rt_thecrossant_black4,958652,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black4,958754,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)4,962258,,,,,,,,black_plus_sign,,,null,object_02c.png,object_06b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)4,962745,,,,,,,,blue,,,null,object_02c.png,object_06b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor4,963247,,,,,,,,blue,,,null,object_02c.png,object_06b.png,,,,,,,,,,,,,,,,,,,
1118.5999999046326,,rt_thecrossant_black4,964765,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black4,964877,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
