rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy
8007.5,,directmemory_phase2,617688,,,,,,,,object_04b.png,,,49,,,1,,object_10c.png,object_13b.png,object_09b.png,object_10c.png,,0.5882352941176471,1
7339,,directmemory_phase2,625030,,,,,,,,object_15c.png,,,51,,,0,,object_09b.png,object_15b.png,object_03c.png,object_15b.png,,0.5555555555555556,0
3736,,directmemory_phase2,628769,,,,,,,,object_01a.png,,,51,,,1,,object_09b.png,object_01c.png,object_06b.png,object_06b.png,,0.5789473684210527,1
3500.89999999851,,directmemory_phase2,632271,,,,,,,,object_13c.png,,,49,,,0,,object_14c.png,object_09b.png,object_06b.png,object_09b.png,,0.55,0
5303.89999999851,,directmemory_phase2,637578,,,,,,,,object_14a.png,,,51,,,1,,object_06b.png,object_01c.png,object_06c.png,object_06c.png,,0.5714285714285714,1
2751.5,,directmemory_phase2,640333,,,,,,,,object_05c.png,,,49,,,0,,object_13a.png,object_05b.png,object_03c.png,object_05b.png,,0.5454545454545454,0
8490.199999999255,,directmemory_phase2,648825,,,,,,,,object_10a.png,,,50,,,1,,object_13a.png,object_14c.png,object_10c.png,object_14c.png,,0.5652173913043478,1
6353.800000000745,,directmemory_phase2,655181,,,,,,,,object_09c.png,,,51,,,0,,object_13b.png,object_09b.png,object_15b.png,object_13b.png,,0.5416666666666666,0
6161.20000000298,,directmemory_phase2,661345,,,,,,,,object_11c.png,,,51,,,0,,object_02c.png,object_08c.png,object_11a.png,object_08c.png,,0.52,0
4308.300000000745,,directmemory_phase2,665656,,,,,,,,object_15a.png,,,51,,,1,,object_02c.png,object_13a.png,object_11a.png,object_11a.png,,0.5384615384615384,1
3844.5,,directmemory_phase2,669503,,,,,,,,object_05a.png,,,49,,,1,,object_01c.png,object_02a.png,object_08c.png,object_01c.png,,0.5555555555555556,1
6594.199999999255,,directmemory_phase2,676099,,,,,,,,object_01b.png,,,50,,,1,,object_08c.png,object_02c.png,object_06b.png,object_02c.png,,0.5714285714285714,1
4673.89999999851,,directmemory_phase2,680776,,,,,,,,object_12c.png,,,49,,,1,,object_03c.png,object_13b.png,object_05b.png,object_03c.png,,0.5862068965517241,1
3910.7999999970198,,directmemory_phase2,684690,,,,,,,,object_07a.png,,,49,,,0,,object_15b.png,object_02c.png,object_02a.png,object_02a.png,,0.5666666666666667,0
null,,thebreak,684794,,,,,,,,<p></p>,,,null,,,,,,,,,,,
3076.5,,intro_0,687872,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,learn_phase(without_color)3,691377,,,,,,,,black_plus_sign,,,null,object_09b.png,object_13c.png,,,,,,,,,
null,,black_cross(without_color)3,691921,,,,,,,,green,,,null,object_09b.png,object_13c.png,,,,,,,,,
null,,rt_plussign_withcolor3,692426,,,,,,,,green,,,null,object_09b.png,object_13c.png,,,,,,,,,
null,,rt_thecrossant_black3,693895,,,,,,,,black_plus_sign,,,null,,,,,,,,,,NaN,
null,,color_black3,693998,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,697506,,,,,,,,black_plus_sign,,,null,object_03c.png,object_12c.png,,,,,,,,,
null,,black_cross(without_color)3,698145,,,,,,,,blue,,,null,object_03c.png,object_12c.png,,,,,,,,,
null,,rt_plussign_withcolor3,698650,,,,,,,,blue,,,null,object_03c.png,object_12c.png,,,,,,,,,
null,,rt_thecrossant_black3,700022,,,,,,,,black_plus_sign,,,null,,,,,,,,,,NaN,
null,,warning_page,705029,,,,,,,,warning,,,null,,,,,,,,,,,
null,,color_black3,705131,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,708639,,,,,,,,black_plus_sign,,,null,object_14c.png,object_10a.png,,,,,,,,,
null,,black_cross(without_color)3,709401,,,,,,,,blue,,,null,object_14c.png,object_10a.png,,,,,,,,,
null,,rt_plussign_withcolor3,709906,,,,,,,,blue,,,null,object_14c.png,object_10a.png,,,,,,,,,
1025.199999999255,,rt_thecrossant_black3,711151,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,
null,,color_black3,711263,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,714771,,,,,,,,black_plus_sign,,,null,object_13b.png,object_09c.png,,,,,,,,,
null,,black_cross(without_color)3,715326,,,,,,,,blue,,,null,object_13b.png,object_09c.png,,,,,,,,,
null,,rt_plussign_withcolor3,715828,,,,,,,,blue,,,null,object_13b.png,object_09c.png,,,,,,,,,
1207.800000000745,,rt_thecrossant_black3,717282,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,
null,,color_black3,717387,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,720894,,,,,,,,black_plus_sign,,,null,object_02a.png,object_07a.png,,,,,,,,,
null,,black_cross(without_color)3,721741,,,,,,,,blue,,,null,object_02a.png,object_07a.png,,,,,,,,,
null,,rt_plussign_withcolor3,722243,,,,,,,,blue,,,null,object_02a.png,object_07a.png,,,,,,,,,
873.8000000007451,,rt_thecrossant_black3,723406,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,
null,,color_black3,723510,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,727017,,,,,,,,black_plus_sign,,,null,object_05b.png,object_05c.png,,,,,,,,,
null,,black_cross(without_color)3,727937,,,,,,,,green,,,null,object_05b.png,object_05c.png,,,,,,,,,
null,,rt_plussign_withcolor3,728443,,,,,,,,green,,,null,object_05b.png,object_05c.png,,,,,,,,,
1470.5,,rt_thecrossant_black3,729538,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,
null,,color_black3,729641,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,733149,,,,,,,,black_plus_sign,,,null,object_10c.png,object_04b.png,,,,,,,,,
null,,black_cross(without_color)3,733738,,,,,,,,blue,,,null,object_10c.png,object_04b.png,,,,,,,,,
null,,rt_plussign_withcolor3,734242,,,,,,,,blue,,,null,object_10c.png,object_04b.png,,,,,,,,,
1072.699999999255,,rt_thecrossant_black3,735665,,,,,,,,black_plus_sign,,,49,,,1,,,,,,,1,
null,,color_black3,735770,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,739276,,,,,,,,black_plus_sign,,,null,object_01c.png,object_05a.png,,,,,,,,,
null,,black_cross(without_color)3,740020,,,,,,,,green,,,null,object_01c.png,object_05a.png,,,,,,,,,
null,,rt_plussign_withcolor3,740522,,,,,,,,green,,,null,object_01c.png,object_05a.png,,,,,,,,,
1047.8999999985099,,rt_thecrossant_black3,741794,,,,,,,,black_plus_sign,,,50,,,1,,,,,,,1,
null,,color_black3,741897,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,learn_phase(without_color)3,745406,,,,,,,,black_plus_sign,,,null,object_13a.png,object_07b.png,,,,,,,,,
null,,black_cross(without_color)3,746386,,,,,,,,green,,,null,object_13a.png,object_07b.png,,,,,,,,,
null,,rt_plussign_withcolor3,746891,,,,,,,,green,,,null,object_13a.png,object_07b.png,,,,,,,,,
