rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy
1133.9000000953674,,prac_rt_thecrossant_black,824177,,,,,,,,black_plus_sign,,,50,,,,1,0.9166666666666666,,,,,,
null,,prac_color_black,824283,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
3214.2000002861023,,instruct_dir_01,827499,,,,,,,,instruct,0,Next,,,,,,,,,,,,
9364.699999809265,,instruct_dir_2,836865,,,,,,,,instruct,1,Next,,,,,,,,,,,,
3066,,instruct_dir_3,839932,,,,,,,,instruct,1,Next,,,,,,,,,,,,
6865.099999904633,,instruct_dir_4,846799,,,,,,,,instruct,1,Start,,,,,,,,,,,,
null,,thebreak,846906,,,,,,,,<p></p>,,,null,,,,,,,,,,,
5194.699999809265,,intro_0,852103,,,,,,,,instruct,,,32,,,,,,,,,,,
3908.5999999046326,,prac_directmemory_phase,856013,,,,,,,,practice/object_03b.png,,,50,,,,1,,practice/object_02a.png,practice/object_03a.png,practice/object_04a.png,practice/object_03a.png,1,1
6856.299999713898,,prac_directmemory_phase,862872,,,,,,,,practice/object_01b.png,,,50,,,,1,,practice/object_03a.png,practice/object_01a.png,practice/object_04a.png,practice/object_01a.png,1,1
3993.7999997138977,,prac_directmemory_phase,866868,,,,,,,,practice/object_04b.png,,,50,,,,0,,practice/object_03a.png,practice/object_01a.png,practice/object_04a.png,practice/object_04a.png,0,0.6666666666666666
6700.800000190735,,prac_directmemory_phase,873572,,,,,,,,practice/object_02b.png,,,49,,,,0,,practice/object_03a.png,practice/object_01a.png,practice/object_02a.png,practice/object_02a.png,0,0.5
