rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,completion_code
7737.5,,attentioncheck_feedback,150855,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,
7581.100000023842,,last_instruct,158438,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_learn_phase(without_color),161940,,,,,,,,black_plus_sign,,,null,object_08c.png,object_10a.png,,,,,,,,,
null,,prac_black_cross(without_color),162999,,,,,,,,green,,,null,object_08c.png,object_10a.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,163502,,,,,,,,green,,,null,object_08c.png,object_10a.png,,,,,,,,,
1121.199999988079,,prac_rt_thecrossant_black,164448,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,
null,,prac_color_black,164551,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),168056,,,,,,,,black_plus_sign,,,null,object_12a.png,object_15c.png,,,,,,,,,
null,,black_cross(without_color)1,168916,,,,,,,,green,,,null,object_08c.png,object_10a.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,169418,,,,,,,,green,,,null,object_12a.png,object_15c.png,,,,,,,,,
981.1999999880791,,prac_rt_thecrossant_black,170591,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,,
null,,prac_color_black,170693,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),174197,,,,,,,,black_plus_sign,,,null,object_02c.png,object_13b.png,,,,,,,,,
null,,black_cross(without_color)1,175057,,,,,,,,green,,,null,object_08c.png,object_10a.png,,,,,,,,,
392.69999998807907,,prac_rt_plussign_withcolor,175559,,,,,,,,blue,,,49,object_02c.png,object_13b.png,,,,,,,,,
null,,prac_rt_thecrossant_black,176938,,,,,,,,black_plus_sign,,,null,,,1,1,,,,,,,
null,,prac_color_black,177041,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),180544,,,,,,,,black_plus_sign,,,null,object_02b.png,object_09c.png,,,,,,,,,
null,,black_cross(without_color)1,181404,,,,,,,,green,,,null,object_08c.png,object_10a.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,181906,,,,,,,,blue,,,null,object_02b.png,object_09c.png,,,,,,,,,
1162.300000011921,,prac_rt_thecrossant_black,183243,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,,
null,,prac_color_black,183345,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
8172.300000011921,,instruct_dir_01,191520,,,,,,,,instruct,0,Next,,,,,,,,,,,,
16464,,instruct_dir_2,207988,,,,,,,,instruct,1,Next,,,,,,,,,,,,
6146.399999976158,,instruct_dir_3,214136,,,,,,,,instruct,1,Next,,,,,,,,,,,,
9270.100000023842,,instruct_dir_4,223410,,,,,,,,instruct,1,Start,,,,,,,,,,,,
null,,thebreak,223511,,,,,,,,<p></p>,,,null,,,,,,,,,,,
2207.2999999523163,,intro_0,225721,,,,,,,,instruct,,,32,,,,,,,,,,,
9062,,prac_directmemory_phase,234785,,,,,,,,practice/object_03a.png,,,49,,,1,,practice/object_03b.png,practice/object_01b.png,practice/object_01a.png,practice/object_03b.png,1,1,
6121.300000011921,,prac_directmemory_phase,240911,,,,,,,,practice/object_04a.png,,,50,,,0,,practice/object_04b.png,practice/object_03b.png,practice/object_02a.png,practice/object_04b.png,0,0.5,
3877.599999964237,,prac_directmemory_phase,244791,,,,,,,,practice/object_01a.png,,,51,,,1,,practice/object_04b.png,practice/object_02a.png,practice/object_01b.png,practice/object_01b.png,1,0.6666666666666666,
4967.699999988079,,prac_directmemory_phase,249761,,,,,,,,practice/object_02a.png,,,50,,,1,,practice/object_03a.png,practice/object_02b.png,practice/object_03b.png,practice/object_02b.png,1,0.75,
5813.300000011921,,practice_feedback,255576,,,,,,,,practice_feedback,1,,,,,,,,,,,,,
8725,,proceed_actualTask,264305,,,,,,,,proceed_actualTask,0,End Early,,,,,,,,,,,,
28301.30000001192,,html-keyboard-response,292611,,,,,,,,<p>Thank you for your participation. Your completion code is <strong>C78LSMTN</strong>. Please return the task for partial payment</p><p>Please press <strong>SpaceBar</strong> to close the window after you have copied the code. After checking your data, you will be compensate partially.</p>,,,32,,,,,,,,,,,C78LSMTN
