rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,accuracy,prac_weighted_accuracy,cumulative_accuracy
null,,prac_rt_thecrossant_black,259119,,,,black_plus_sign,,,null,,,NaN,,,,,,,
null,,warning_page,264128,,,,warning,,,null,,,,,,,,,,
null,,prac_color_black,264239,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_learn_phase(without_color),267747,,,,black_plus_sign,,,null,object_15b.png,object_04a.png,,,,,,,,
null,,black_cross(without_color)1,268392,,,,green,,,null,object_08b.png,object_07b.png,,,,,,,,
null,,prac_rt_plussign_withcolor,268895,,,,blue,,,null,object_15b.png,object_04a.png,,,,,,,,
null,,prac_rt_thecrossant_black,270201,,,,black_plus_sign,,,null,,,NaN,,,,,,,
null,,warning_page,275211,,,,warning,,,null,,,,,,,,,,
null,,prac_color_black,275320,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_learn_phase(without_color),278829,,,,black_plus_sign,,,null,object_08a.png,object_09b.png,,,,,,,,
null,,black_cross(without_color)1,279475,,,,green,,,null,object_08b.png,object_07b.png,,,,,,,,
null,,prac_rt_plussign_withcolor,279978,,,,blue,,,null,object_08a.png,object_09b.png,,,,,,,,
null,,prac_rt_thecrossant_black,281235,,,,black_plus_sign,,,null,,,NaN,,,,,,,
null,,prac_color_black,281344,,,,black_plus_sign,,,null,,,,,,,,,,
9472,,instruct_dir_01,290822,,,,instruct,0,Next,,,,,,,,,,,
17306,,instruct_dir_2,308129,,,,instruct,1,Next,,,,,,,,,,,
10816,,instruct_dir_3,318947,,,,instruct,1,Next,,,,,,,,,,,
18153.99999999994,,instruct_dir_4,337102,,,,instruct,1,Start,,,,,,,,,,,
null,,thebreak,337206,,,,<p></p>,,,null,,,,,,,,,,
2255,,intro_0,339465,,,,instruct,,,32,,,,,,,,,,
4179,,prac_directmemory_phase,343646,,,,practice/object_04a.png,,,50,,,,practice/object_03a.png,practice/object_04b.png,practice/object_01b.png,practice/object_04b.png,1,1,1
289,,prac_directmemory_phase,343941,,,,practice/object_03a.png,,,49,,,,practice/object_03b.png,practice/object_01b.png,practice/object_02a.png,practice/object_03b.png,1,1,1
1757,,prac_directmemory_phase,345704,,,,practice/object_02a.png,,,50,,,,practice/object_04b.png,practice/object_04a.png,practice/object_02b.png,practice/object_02b.png,0,0,0.6666666666666666
483,,prac_directmemory_phase,346194,,,,practice/object_01a.png,,,51,,,,practice/object_04b.png,practice/object_02a.png,practice/object_01b.png,practice/object_01b.png,1,1,0.75
9513,,practice_feedback,355723,,,,practice_feedback,1,,,,,,,,,,,,
18277,,proceed_actualTask,374011,,,,proceed_actualTask,0,End Early,,,,,,,,,,,
