rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy
null,,black_cross(without_color)3,886312,,,,blue,,,null,,object_15b.png,object_04c.png,,,,,,,,,
null,,rt_plussign_withcolor3,886832,,,,blue,,,null,,object_15b.png,object_04c.png,,,,,,,,,
906.8999999985099,,rt_thecrossant_black3,887889,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black3,888000,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,891516,,,,black_plus_sign,,,null,,object_01b.png,object_01c.png,,,,,,,,,
null,,black_cross(without_color)3,892171,,,,blue,,,null,,object_01b.png,object_01c.png,,,,,,,,,
null,,rt_plussign_withcolor3,892679,,,,blue,,,null,,object_01b.png,object_01c.png,,,,,,,,,
1282.8000000044703,,rt_thecrossant_black3,894043,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black3,894159,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,897672,,,,black_plus_sign,,,null,,object_13a.png,object_09c.png,,,,,,,,,
null,,black_cross(without_color)3,898548,,,,green,,,null,,object_13a.png,object_09c.png,,,,,,,,,
null,,rt_plussign_withcolor3,899055,,,,green,,,null,,object_13a.png,object_09c.png,,,,,,,,,
1494.5,,rt_thecrossant_black3,900200,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black3,900309,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,903826,,,,black_plus_sign,,,null,,object_11c.png,object_04a.png,,,,,,,,,
null,,black_cross(without_color)3,904570,,,,green,,,null,,object_11c.png,object_04a.png,,,,,,,,,
null,,rt_plussign_withcolor3,905082,,,,green,,,null,,object_11c.png,object_04a.png,,,,,,,,,
1304.8000000044703,,rt_thecrossant_black3,906370,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black3,906479,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,909994,,,,black_plus_sign,,,null,,object_05c.png,object_10b.png,,,,,,,,,
null,,black_cross(without_color)3,910537,,,,green,,,null,,object_05c.png,object_10b.png,,,,,,,,,
null,,rt_plussign_withcolor3,911044,,,,green,,,null,,object_05c.png,object_10b.png,,,,,,,,,
1237.7000000029802,,rt_thecrossant_black3,912520,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black3,912631,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,916149,,,,black_plus_sign,,,null,,object_08a.png,object_07c.png,,,,,,,,,
null,,black_cross(without_color)3,917127,,,,blue,,,null,,object_08a.png,object_07c.png,,,,,,,,,
null,,rt_plussign_withcolor3,917634,,,,blue,,,null,,object_08a.png,object_07c.png,,,,,,,,,
660.8000000044703,,rt_thecrossant_black3,918672,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black3,918782,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,922299,,,,black_plus_sign,,,null,,object_03c.png,object_10a.png,,,,,,,,,
null,,black_cross(without_color)3,923108,,,,blue,,,null,,object_03c.png,object_10a.png,,,,,,,,,
null,,rt_plussign_withcolor3,923617,,,,blue,,,null,,object_03c.png,object_10a.png,,,,,,,,,
1890.8999999985099,,rt_thecrossant_black3,924828,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black3,924937,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,928455,,,,black_plus_sign,,,null,,object_14a.png,object_11b.png,,,,,,,,,
null,,black_cross(without_color)3,929221,,,,green,,,null,,object_14a.png,object_11b.png,,,,,,,,,
null,,rt_plussign_withcolor3,929728,,,,green,,,null,,object_14a.png,object_11b.png,,,,,,,,,
990.2999999970198,,rt_thecrossant_black3,930985,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black3,931096,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,934609,,,,black_plus_sign,,,null,,object_08b.png,object_02c.png,,,,,,,,,
null,,black_cross(without_color)3,935125,,,,green,,,null,,object_08b.png,object_02c.png,,,,,,,,,
500.80000000447035,,rt_plussign_withcolor3,935639,,,,green,,,50,,object_08b.png,object_02c.png,,,,,,,,,
null,,rt_thecrossant_black3,937155,,,,black_plus_sign,,,null,,,,1,,,,,,,1,
null,,color_black3,937268,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,940784,,,,black_plus_sign,,,null,,object_15c.png,object_14b.png,,,,,,,,,
null,,black_cross(without_color)3,941483,,,,green,,,null,,object_15c.png,object_14b.png,,,,,,,,,
null,,rt_plussign_withcolor3,941988,,,,green,,,null,,object_15c.png,object_14b.png,,,,,,,,,
752.7999999970198,,rt_thecrossant_black3,943319,,,,black_plus_sign,,,50,,,,1,,,,,,,1,
null,,color_black3,943429,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,946935,,,,black_plus_sign,,,null,,object_13b.png,object_02a.png,,,,,,,,,
null,,black_cross(without_color)3,947823,,,,blue,,,null,,object_13b.png,object_02a.png,,,,,,,,,
null,,rt_plussign_withcolor3,948341,,,,blue,,,null,,object_13b.png,object_02a.png,,,,,,,,,
823.7999999970198,,rt_thecrossant_black3,949489,,,,black_plus_sign,,,49,,,,1,,,,,,,1,
null,,color_black3,949606,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,953120,,,,black_plus_sign,,,null,,object_14c.png,object_12b.png,,,,,,,,,
null,,black_cross(without_color)3,954083,,,,blue,,,null,,object_14c.png,object_12b.png,,,,,,,,,
null,,rt_plussign_withcolor3,954589,,,,blue,,,null,,object_14c.png,object_12b.png,,,,,,,,,
1191.1000000014901,,rt_thecrossant_black3,955651,,,,black_plus_sign,,,50,,,,0,,,,,,,0.9230769230769231,
null,,color_black3,955762,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,959276,,,,black_plus_sign,,,null,,object_03a.png,object_13c.png,,,,,,,,,
null,,black_cross(without_color)3,959867,,,,green,,,null,,object_03a.png,object_13c.png,,,,,,,,,
null,,rt_plussign_withcolor3,960373,,,,green,,,null,,object_03a.png,object_13c.png,,,,,,,,,
1459.5,,rt_thecrossant_black3,961811,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9285714285714286,
null,,color_black3,961921,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,learn_phase(without_color)3,965437,,,,black_plus_sign,,,null,,object_03b.png,object_02b.png,,,,,,,,,
null,,black_cross(without_color)3,966136,,,,green,,,null,,object_03b.png,object_02b.png,,,,,,,,,
null,,rt_plussign_withcolor3,966650,,,,green,,,null,,object_03b.png,object_02b.png,,,,,,,,,
861.6999999955297,,rt_thecrossant_black3,967973,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9333333333333333,
null,,color_black3,968083,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,thebreak,968191,,,,<p></p>,,,null,,,,,,,,,,,,
1529.8000000044703,,intro_0,969728,,,,instruct,,,32,,,,,,,,,,,,
9436.59999999404,,directmemory_phase3,979171,,,,object_04c.png,,,49,,,,1,,object_15b.png,object_13b.png,object_02c.png,object_15b.png,,0.6774193548387096,1
2342.0999999940395,,directmemory_phase3,981531,,,,object_03a.png,,,51,,,,1,,object_14c.png,object_02c.png,object_13c.png,object_13c.png,,0.6875,1
5207.60000000149,,directmemory_phase3,986755,,,,object_01c.png,,,51,,,,1,,object_08b.png,object_02b.png,object_01b.png,object_01b.png,,0.696969696969697,1
2480.5,,directmemory_phase3,989252,,,,object_12b.png,,,51,,,,1,,object_04a.png,object_01c.png,object_14c.png,object_14c.png,,0.7058823529411765,1
2800.89999999851,,directmemory_phase3,992070,,,,object_09c.png,,,50,,,,1,,object_02c.png,object_13a.png,object_15b.png,object_13a.png,,0.7142857142857143,1
2578.1999999955297,,directmemory_phase3,994665,,,,object_08a.png,,,50,,,,1,,object_12b.png,object_07c.png,object_08b.png,object_07c.png,,0.7222222222222222,1
2526.7000000029802,,directmemory_phase3,997210,,,,object_02c.png,,,51,,,,1,,object_10a.png,object_03a.png,object_08b.png,object_08b.png,,0.7297297297297297,1
